agent_id,x,y,coverage_pheromone,size
pipuck15,-5.17969,2.52344,0.29375,0.265625
pipuck15,-5.17969,2.78906,0.2975,0.265625
pipuck15,-5.17969,3.05469,0.308125,0.265625
pipuck15,-5.17969,3.32031,0.305,0.265625
pipuck15,-5.17969,3.58594,-1,0.265625
pipuck15,-5.17969,3.85156,0.76125,0.265625
pipuck15,-5.17969,4.11719,0.75875,0.265625
pipuck15,-5.17969,4.38281,0.755,0.265625
pipuck15,-5.17969,4.64844,0.74875,0.265625
pipuck15,-5.17969,4.91406,0.745625,0.265625
pipuck15,-5.17969,5.17969,0.7475,0.265625
pipuck15,-5.17969,5.44531,0.74375,0.265625
pipuck15,-5.17969,5.71094,0.743125,0.265625
pipuck15,-5.17969,5.97656,0.71625,0.265625
pipuck15,-5.17969,6.24219,0.685625,0.265625
pipuck15,-5.17969,6.50781,0.665625,0.265625
pipuck15,-5.17969,6.77344,0.656875,0.265625
pipuck15,-5.17969,7.03906,0.664375,0.265625
pipuck15,-5.17969,7.30469,0.654375,0.265625
pipuck15,-5.17969,7.57031,0.663125,0.265625
pipuck15,-4.91406,-6.24219,-1,0.265625
pipuck15,-4.91406,-5.97656,-1,0.265625
pipuck15,-4.91406,-5.71094,-1,0.265625
pipuck15,-4.91406,-5.44531,0.098125,0.265625
pipuck15,-4.91406,-5.17969,0.099375,0.265625
pipuck15,-4.91406,-4.91406,0.10625,0.265625
pipuck15,-4.91406,-4.64844,0.10875,0.265625
pipuck15,-4.91406,-4.38281,0.109375,0.265625
pipuck15,-4.91406,-4.11719,0.11,0.265625
pipuck15,-4.91406,-3.85156,0.11125,0.265625
pipuck15,-4.91406,-3.58594,0.111875,0.265625
pipuck15,-4.91406,-3.32031,0.19375,0.265625
pipuck15,-4.91406,-3.05469,0.2,0.265625
pipuck15,-4.91406,-2.78906,0.2025,0.265625
pipuck15,-4.91406,-2.52344,0.20875,0.265625
pipuck15,-4.91406,-2.25781,0.210625,0.265625
pipuck15,-4.91406,-1.99219,0.210625,0.265625
pipuck15,-4.91406,-1.72656,0.2125,0.265625
pipuck15,-4.91406,-1.46094,0.215625,0.265625
pipuck15,-4.91406,-1.19531,0.25625,0.265625
pipuck15,-4.91406,-0.929688,0.2575,0.265625
pipuck15,-4.91406,-0.664062,0.269375,0.265625
pipuck15,-4.91406,-0.398438,0.269375,0.265625
pipuck15,-4.91406,-0.132812,0.291875,0.265625
pipuck15,-4.91406,0.132812,0.293125,0.265625
pipuck15,-4.91406,0.398438,0.29,0.265625
pipuck15,-4.91406,0.664062,0.2875,0.265625
pipuck15,-4.91406,0.929688,0.28375,0.265625
pipuck15,-4.91406,1.19531,0.275,0.265625
pipuck15,-4.91406,1.46094,0.27,0.265625
pipuck15,-4.91406,1.72656,0.28,0.265625
pipuck15,-4.91406,1.99219,0.280625,0.265625
pipuck15,-4.91406,2.25781,0.291875,0.265625
pipuck15,-4.91406,2.52344,0.2975,0.265625
pipuck15,-4.91406,2.78906,0.78125,0.265625
pipuck15,-4.91406,3.05469,0.780625,0.265625
pipuck15,-4.91406,3.32031,0.774375,0.265625
pipuck15,-4.91406,3.58594,0.77125,0.265625
pipuck15,-4.91406,3.85156,0.764375,0.265625
pipuck15,-4.91406,4.11719,0.75875,0.265625
pipuck15,-4.91406,4.38281,0.755,0.265625
pipuck15,-4.91406,4.64844,0.74875,0.265625
pipuck15,-4.91406,4.91406,0.745625,0.265625
pipuck15,-4.91406,5.17969,0.7475,0.265625
pipuck15,-4.91406,5.44531,0.74375,0.265625
pipuck15,-4.91406,5.71094,0.743125,0.265625
pipuck15,-4.91406,6.77344,0.7125,0.265625
pipuck15,-4.91406,7.03906,0.664375,0.265625
pipuck15,-4.91406,7.30469,0.663125,0.265625
pipuck15,-4.91406,7.57031,0.663125,0.265625
pipuck15,-4.91406,7.83594,0.661875,0.265625
pipuck15,-4.64844,-6.50781,-1,0.265625
pipuck15,-4.64844,-6.24219,-1,0.265625
pipuck15,-4.64844,-5.97656,0.09625,0.265625
pipuck15,-4.64844,-5.71094,0.0975,0.265625
pipuck15,-4.64844,-5.44531,0.0875,0.265625
pipuck15,-4.64844,-5.17969,0.099375,0.265625
pipuck15,-4.64844,-4.91406,0.10625,0.265625
pipuck15,-4.64844,-4.64844,0.108125,0.265625
pipuck15,-4.64844,-4.38281,0.109375,0.265625
pipuck15,-4.64844,-4.11719,0.110625,0.265625
pipuck15,-4.64844,-3.85156,0.11125,0.265625
pipuck15,-4.64844,-3.58594,0.191875,0.265625
pipuck15,-4.64844,-3.32031,0.194375,0.265625
pipuck15,-4.64844,-3.05469,0.194375,0.265625
pipuck15,-4.64844,-2.78906,0.2,0.265625
pipuck15,-4.64844,-2.52344,0.2025,0.265625
pipuck15,-4.64844,-2.25781,0.235,0.265625
pipuck15,-4.64844,-1.99219,0.23875,0.265625
pipuck15,-4.64844,-1.72656,0.241875,0.265625
pipuck15,-4.64844,-1.46094,0.24625,0.265625
pipuck15,-4.64844,-1.19531,0.258125,0.265625
pipuck15,-4.64844,-0.929688,0.259375,0.265625
pipuck15,-4.64844,-0.664062,0.268125,0.265625
pipuck15,-4.64844,-0.398438,0.268125,0.265625
pipuck15,-4.64844,-0.132812,0.290625,0.265625
pipuck15,-4.64844,0.132812,0.2975,0.265625
pipuck15,-4.64844,0.398438,0.3025,0.265625
pipuck15,-4.64844,0.664062,0.3025,0.265625
pipuck15,-4.64844,0.929688,0.2875,0.265625
pipuck15,-4.64844,1.19531,0.275625,0.265625
pipuck15,-4.64844,1.46094,0.28,0.265625
pipuck15,-4.64844,1.72656,0.280625,0.265625
pipuck15,-4.64844,1.99219,0.79125,0.265625
