agent_id,x,y,obstacle_pheromone,size
pipuck15,-0.132812,8.89844,-1,0.265625
pipuck15,-0.132812,9.16406,-1,0.265625
pipuck15,-0.132812,11.8203,-1,0.265625
pipuck15,-0.132812,12.0859,-1,0.265625
pipuck15,-0.132812,12.3516,-1,0.265625
pipuck15,0.132812,-7.57031,0.039375,0.265625
pipuck15,0.132812,-7.30469,0.0375,0.265625
pipuck15,0.132812,-7.03906,-1,0.265625
pipuck15,0.132812,-6.77344,0.0425,0.265625
pipuck15,0.132812,-6.50781,-1,0.265625
pipuck15,0.132812,-6.24219,-1,0.265625
pipuck15,0.132812,-5.44531,0.981875,0.265625
pipuck15,0.132812,-5.17969,0.971875,0.265625
pipuck15,0.132812,-4.11719,-1,0.265625
pipuck15,0.132812,-3.85156,-1,0.265625
pipuck15,0.132812,-3.58594,-1,0.265625
pipuck15,0.132812,-1.72656,0.915,0.265625
pipuck15,0.132812,-1.46094,0.915625,0.265625
pipuck15,0.132812,1.19531,0.833125,0.265625
pipuck15,0.132812,1.46094,0.855625,0.265625
pipuck15,0.132812,7.57031,0.670625,0.265625
pipuck15,0.132812,7.83594,0.67125,0.265625
pipuck15,0.132812,8.10156,-1,0.265625
pipuck15,0.132812,8.36719,-1,0.265625
pipuck15,0.132812,8.63281,-1,0.265625
pipuck15,0.132812,8.89844,-1,0.265625
pipuck15,0.132812,9.16406,-1,0.265625
pipuck15,0.132812,12.0859,-1,0.265625
pipuck15,0.132812,12.3516,-1,0.265625
pipuck15,0.398438,-13.1484,-1,0.265625
pipuck15,0.398438,-7.57031,0.035,0.265625
pipuck15,0.398438,-7.30469,0.03875,0.265625
pipuck15,0.398438,-7.03906,0.04,0.265625
pipuck15,0.398438,-6.77344,0.04125,0.265625
pipuck15,0.398438,-4.64844,-1,0.265625
pipuck15,0.398438,-4.38281,0.985625,0.265625
pipuck15,0.398438,-4.11719,0.986875,0.265625
pipuck15,0.398438,-3.85156,0.973125,0.265625
pipuck15,0.398438,-3.58594,-1,0.265625
pipuck15,0.398438,-1.72656,-1,0.265625
pipuck15,0.398438,-1.46094,0.91625,0.265625
pipuck15,0.398438,1.19531,0.885,0.265625
pipuck15,0.398438,1.46094,0.884375,0.265625
pipuck15,0.398438,1.72656,0.869375,0.265625
pipuck15,0.398438,8.10156,-1,0.265625
pipuck15,0.398438,8.36719,-1,0.265625
pipuck15,0.398438,8.63281,-1,0.265625
pipuck15,0.398438,8.89844,-1,0.265625
pipuck15,0.398438,9.16406,-1,0.265625
pipuck15,0.398438,12.0859,-1,0.265625
pipuck15,0.398438,12.3516,-1,0.265625
pipuck15,0.664062,-13.9453,0.02875,0.265625
pipuck15,0.664062,-13.6797,0.535,0.265625
pipuck15,0.664062,-13.4141,0.6575,0.265625
pipuck15,0.664062,-13.1484,0.643125,0.265625
pipuck15,0.664062,-12.8828,0.64375,0.265625
pipuck15,0.664062,-12.6172,0.04125,0.265625
pipuck15,0.664062,-7.57031,-1,0.265625
pipuck15,0.664062,-7.30469,-1,0.265625
pipuck15,0.664062,-7.03906,-1,0.265625
pipuck15,0.664062,-4.64844,0.984375,0.265625
pipuck15,0.664062,-4.38281,0.985,0.265625
pipuck15,0.664062,-4.11719,0.983125,0.265625
pipuck15,0.664062,-3.85156,-1,0.265625
pipuck15,0.664062,-3.58594,-1,0.265625
pipuck15,0.664062,-1.46094,-1,0.265625
pipuck15,0.664062,0.929688,0.88875,0.265625
pipuck15,0.664062,1.19531,0.888125,0.265625
pipuck15,0.664062,1.46094,0.87125,0.265625
pipuck15,0.664062,6.50781,-1,0.265625
pipuck15,0.664062,8.10156,-1,0.265625
pipuck15,0.664062,8.36719,-1,0.265625
pipuck15,0.664062,8.63281,-1,0.265625
pipuck15,0.664062,8.89844,-1,0.265625
pipuck15,0.664062,9.16406,-1,0.265625
pipuck15,0.664062,9.42969,-1,0.265625
pipuck15,0.664062,12.0859,-1,0.265625
pipuck15,0.664062,12.3516,-1,0.265625
pipuck15,0.929688,-14.7422,-1,0.265625
pipuck15,0.929688,-14.4766,0.541875,0.265625
pipuck15,0.929688,-14.2109,0.66375,0.265625
pipuck15,0.929688,-13.9453,0.6625,0.265625
pipuck15,0.929688,-13.6797,0.66125,0.265625
pipuck15,0.929688,-13.4141,0.65875,0.265625
pipuck15,0.929688,-13.1484,0.6425,0.265625
pipuck15,0.929688,-12.8828,0.476875,0.265625
pipuck15,0.929688,-12.6172,-1,0.265625
pipuck15,0.929688,-11.2891,-1,0.265625
pipuck15,0.929688,-10.7578,-1,0.265625
pipuck15,0.929688,-9.69531,-1,0.265625
pipuck15,0.929688,-7.30469,-1,0.265625
pipuck15,0.929688,-7.03906,-1,0.265625
pipuck15,0.929688,-6.77344,-1,0.265625
pipuck15,0.929688,-4.11719,-1,0.265625
pipuck15,0.929688,-3.85156,-1,0.265625
pipuck15,0.929688,-3.58594,-1,0.265625
pipuck15,0.929688,-3.32031,-1,0.265625
pipuck15,0.929688,-1.46094,0.86,0.265625
pipuck15,0.929688,-1.19531,0.85875,0.265625
pipuck15,0.929688,-0.929688,0.95125,0.265625
pipuck15,0.929688,0.664062,0.819375,0.265625
pipuck15,0.929688,0.929688,0.913125,0.265625
pipuck15,0.929688,1.19531,0.9125,0.265625
pipuck15,0.929688,4.11719,-1,0.265625
pipuck15,0.929688,6.50781,0.705625,0.265625
pipuck15,0.929688,8.36719,-1,0.265625
pipuck15,0.929688,8.89844,-1,0.265625
pipuck15,0.929688,9.16406,-1,0.265625
pipuck15,0.929688,9.42969,-1,0.265625
pipuck15,0.929688,11.8203,-1,0.265625
pipuck15,0.929688,12.0859,-1,0.265625
pipuck15,0.929688,12.3516,-1,0.265625
pipuck15,1.19531,-15.2734,0.41125,0.265625
pipuck15,1.19531,-15.0078,0.61625,0.265625
pipuck15,1.19531,-14.7422,0.65125,0.265625
pipuck15,1.19531,-14.4766,0.665,0.265625
pipuck15,1.19531,-14.2109,0.664375,0.265625
pipuck15,1.19531,-13.9453,0.654375,0.265625
pipuck15,1.19531,-13.6797,0.470625,0.265625
pipuck15,1.19531,-13.4141,0.44625,0.265625
pipuck15,1.19531,-13.1484,0.201875,0.265625
pipuck15,1.19531,-12.8828,-1,0.265625
pipuck15,1.19531,-12.6172,-1,0.265625
pipuck15,1.19531,-12.0859,-1,0.265625
pipuck15,1.19531,-11.8203,0.136875,0.265625
pipuck15,1.19531,-11.5547,0.641875,0.265625
pipuck15,1.19531,-11.2891,0.638125,0.265625
pipuck15,1.19531,-11.0234,0.643125,0.265625
pipuck15,1.19531,-10.7578,-1,0.265625
pipuck15,1.19531,-3.85156,-1,0.265625
pipuck15,1.19531,-3.58594,-1,0.265625
pipuck15,1.19531,-1.19531,-1,0.265625
pipuck15,1.19531,-0.929688,0.950625,0.265625
pipuck15,1.19531,-0.664062,0.949375,0.265625
pipuck15,1.19531,0.398438,0.925625,0.265625
pipuck15,1.19531,0.664062,0.92375,0.265625
pipuck15,1.19531,0.929688,0.919375,0.265625
pipuck15,1.19531,1.19531,0.91625,0.265625
pipuck15,1.19531,3.05469,0.321875,0.265625
pipuck15,1.19531,6.24219,0.709375,0.265625
